Pair,Date,N,Week,Month,Year,Recorders
Pair A,5/19/2022,8,20,5,2022,NE01 and NE02
Pair A,5/20/2022,8,20,5,2022,NE01 and NE02
Pair A,5/21/2022,8,20,5,2022,NE01 and NE02
Pair A,5/22/2022,8,20,5,2022,NE01 and NE02
Pair A,5/23/2022,8,21,5,2022,NE01 and NE02
Pair A,5/24/2022,8,21,5,2022,NE01 and NE02
Pair A,5/25/2022,8,21,5,2022,NE01 and NE02
Pair A,5/26/2022,8,21,5,2022,NE01 and NE02
Pair A,5/27/2022,8,21,5,2022,NE01 and NE02
Pair A,5/28/2022,8,21,5,2022,NE01 and NE02
Pair A,5/30/2022,8,22,5,2022,NE01 and NE02
Pair A,6/22/2022,8,25,6,2022,NE01 and NE02
Pair A,6/26/2022,8,25,6,2022,NE01 and NE02
Pair A,6/27/2022,8,26,6,2022,NE01 and NE02
Pair A,7/4/2022,8,27,7,2022,NE01 and NE02
Pair A,9/2/2022,8,35,9,2022,NE01 and NE02
Pair A,3/21/2023,8,12,3,2023,NE01 and NE02
Pair A,3/22/2023,8,12,3,2023,NE01 and NE02
Pair A,3/23/2023,8,12,3,2023,NE01 and NE02
Pair A,3/24/2023,8,12,3,2023,NE01 and NE02
Pair A,3/25/2023,8,12,3,2023,NE01 and NE02
Pair A,3/26/2023,8,12,3,2023,NE01 and NE02
Pair A,3/27/2023,8,13,3,2023,NE01 and NE02
Pair A,3/28/2023,8,13,3,2023,NE01 and NE02
Pair A,3/30/2023,8,13,3,2023,NE01 and NE02
Pair A,4/1/2023,8,13,4,2023,NE01 and NE02
Pair A,4/2/2023,8,13,4,2023,NE01 and NE02
Pair A,4/3/2023,8,14,4,2023,NE01 and NE02
Pair A,4/5/2023,8,14,4,2023,NE01 and NE02
Pair A,4/6/2023,8,14,4,2023,NE01 and NE02
Pair A,4/7/2023,8,14,4,2023,NE01 and NE02
Pair A,4/8/2023,8,14,4,2023,NE01 and NE02
Pair A,4/9/2023,8,14,4,2023,NE01 and NE02
Pair A,4/10/2023,8,15,4,2023,NE01 and NE02
Pair A,4/11/2023,8,15,4,2023,NE01 and NE02
Pair A,4/13/2023,8,15,4,2023,NE01 and NE02
Pair A,4/15/2023,8,15,4,2023,NE01 and NE02
Pair A,4/16/2023,8,15,4,2023,NE01 and NE02
Pair A,4/17/2023,8,16,4,2023,NE01 and NE02
Pair A,4/18/2023,8,16,4,2023,NE01 and NE02
Pair A,4/19/2023,8,16,4,2023,NE01 and NE02
Pair A,4/20/2023,8,16,4,2023,NE01 and NE02
Pair A,4/21/2023,8,16,4,2023,NE01 and NE02
Pair A,4/22/2023,8,16,4,2023,NE01 and NE02
Pair A,4/23/2023,8,16,4,2023,NE01 and NE02
Pair A,4/24/2023,8,17,4,2023,NE01 and NE02
Pair A,4/25/2023,8,17,4,2023,NE01 and NE02
Pair A,4/26/2023,8,17,4,2023,NE01 and NE02
Pair A,4/27/2023,8,17,4,2023,NE01 and NE02
Pair A,4/28/2023,8,17,4,2023,NE01 and NE02
Pair A,4/29/2023,8,17,4,2023,NE01 and NE02
Pair A,4/30/2023,8,17,4,2023,NE01 and NE02
Pair A,5/1/2023,8,18,5,2023,NE01 and NE02
Pair A,5/2/2023,8,18,5,2023,NE01 and NE02
Pair A,5/3/2023,8,18,5,2023,NE01 and NE02
Pair A,5/4/2023,8,18,5,2023,NE01 and NE02
Pair A,5/5/2023,8,18,5,2023,NE01 and NE02
Pair A,5/6/2023,8,18,5,2023,NE01 and NE02
Pair A,5/7/2023,8,18,5,2023,NE01 and NE02
Pair A,5/8/2023,8,19,5,2023,NE01 and NE02
Pair A,5/9/2023,8,19,5,2023,NE01 and NE02
Pair A,5/11/2023,8,19,5,2023,NE01 and NE02
Pair A,5/12/2023,8,19,5,2023,NE01 and NE02
Pair A,5/13/2023,8,19,5,2023,NE01 and NE02
Pair A,5/14/2023,8,19,5,2023,NE01 and NE02
Pair A,5/15/2023,8,20,5,2023,NE01 and NE02
Pair A,5/16/2023,8,20,5,2023,NE01 and NE02
Pair A,5/17/2023,8,20,5,2023,NE01 and NE02
Pair A,5/18/2023,8,20,5,2023,NE01 and NE02
Pair A,5/19/2023,8,20,5,2023,NE01 and NE02
Pair A,5/20/2023,8,20,5,2023,NE01 and NE02
Pair A,5/21/2023,8,20,5,2023,NE01 and NE02
Pair A,5/22/2023,8,21,5,2023,NE01 and NE02
Pair A,5/23/2023,8,21,5,2023,NE01 and NE02
Pair A,5/24/2023,8,21,5,2023,NE01 and NE02
Pair A,5/25/2023,8,21,5,2023,NE01 and NE02
Pair A,5/27/2023,8,21,5,2023,NE01 and NE02
Pair A,5/28/2023,8,21,5,2023,NE01 and NE02
Pair A,5/30/2023,8,22,5,2023,NE01 and NE02
Pair A,5/31/2023,8,22,5,2023,NE01 and NE02
Pair A,6/1/2023,8,22,6,2023,NE01 and NE02
Pair A,6/2/2023,8,22,6,2023,NE01 and NE02
Pair A,6/14/2023,8,24,6,2023,NE01 and NE02
Pair A,6/15/2023,8,24,6,2023,NE01 and NE02
Pair A,6/16/2023,8,24,6,2023,NE01 and NE02
Pair A,6/27/2023,8,26,6,2023,NE01 and NE02
Pair A,6/28/2023,8,26,6,2023,NE01 and NE02
Pair A,6/30/2023,8,26,6,2023,NE01 and NE02
Pair A,7/1/2023,8,26,7,2023,NE01 and NE02
Pair A,7/2/2023,8,26,7,2023,NE01 and NE02
Pair A,7/3/2023,8,27,7,2023,NE01 and NE02
Pair A,7/4/2023,8,27,7,2023,NE01 and NE02
Pair A,7/6/2023,8,27,7,2023,NE01 and NE02
Pair A,7/7/2023,8,27,7,2023,NE01 and NE02
