"","year","pair","location","site","month","week","date","richness","avg_rich","sd","se","X.x","grass_comp1","grass_comp500","crop_comp1","crop_comp500","dominance_1","dominance_500","X.y","weight"
"1",2022,"Pair A","CORN","NE02",5,20,"5/19/2022",1,2.55555555555556,0.726483157256779,0.726483157256779,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",1,0.571428571428571
"2",2022,"Pair A","CORN","NE02",5,20,"5/20/2022",2,2.55555555555556,0.726483157256779,0.513701166914081,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",1,0.571428571428571
"3",2022,"Pair A","CORN","NE02",5,20,"5/21/2022",3,2.55555555555556,0.726483157256779,0.419435246403931,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",1,0.571428571428571
"4",2022,"Pair A","CORN","NE02",5,20,"5/22/2022",3,2.55555555555556,0.726483157256779,0.419435246403931,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",1,0.571428571428571
"5",2022,"Pair A","CORN","NE02",5,21,"5/23/2022",3,2.88235294117647,0.332105582077536,0.191741247211843,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",2,0.857142857142857
"6",2022,"Pair A","CORN","NE02",5,21,"5/24/2022",2,2.88235294117647,0.332105582077536,0.234834109156931,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",2,0.857142857142857
"7",2022,"Pair A","CORN","NE02",5,21,"5/25/2022",3,2.88235294117647,0.332105582077536,0.191741247211843,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",2,0.857142857142857
"8",2022,"Pair A","CORN","NE02",5,21,"5/26/2022",3,2.88235294117647,0.332105582077536,0.191741247211843,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",2,0.857142857142857
"9",2022,"Pair A","CORN","NE02",5,21,"5/27/2022",3,2.88235294117647,0.332105582077536,0.191741247211843,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",2,0.857142857142857
"10",2022,"Pair A","CORN","NE02",5,21,"5/28/2022",3,2.88235294117647,0.332105582077536,0.191741247211843,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",2,0.857142857142857
"11",2022,"Pair A","CORN","NE02",5,22,"5/30/2022",4,4,0,0,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",3,0.142857142857143
"12",2022,"Pair A","CORN","NE02",6,25,"6/22/2022",4,4,0,0,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",4,0.285714285714286
"13",2022,"Pair A","CORN","NE02",6,25,"6/26/2022",4,4,0,0,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",4,0.285714285714286
"14",2022,"Pair A","CORN","NE02",6,26,"6/27/2022",2,2,0,0,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",5,0.142857142857143
"15",2022,"Pair A","CORN","NE02",7,27,"7/4/2022",5,5,0,0,2,37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated",6,0.142857142857143
"16",2022,"Pair A","CRP","NE01",5,20,"5/19/2022",3,3.8,0.414039335605413,0.239045721866879,1,44.2406876790831,61.9266055045872,52.865329512894,33.0275229357798,"Cropland dominated","Grassland dominanted",1,0.571428571428571
"17",2022,"Pair A","CRP","NE01",5,20,"5/20/2022",4,3.8,0.414039335605413,0.207019667802706,1,44.2406876790831,61.9266055045872,52.865329512894,33.0275229357798,"Cropland dominated","Grassland dominanted",1,0.571428571428571
"18",2022,"Pair A","CRP","NE01",5,20,"5/21/2022",4,3.8,0.414039335605413,0.207019667802706,1,44.2406876790831,61.9266055045872,52.865329512894,33.0275229357798,"Cropland dominated","Grassland dominanted",1,0.571428571428571
"19",2022,"Pair A","CRP","NE01",5,20,"5/22/2022",4,3.8,0.414039335605413,0.207019667802706,1,44.2406876790831,61.9266055045872,52.865329512894,33.0275229357798,"Cropland dominated","Grassland dominanted",1,0.571428571428571
"20",2022,"Pair A","CRP","NE01",5,21,"5/23/2022",4,4.38461538461539,0.496138938356834,0.248069469178417,1,44.2406876790831,61.9266055045872,52.865329512894,33.0275229357798,"Cropland dominated","Grassland dominanted",2,0.857142857142857
