"","site","pair","grass_comp1","grass_comp500","crop_comp1","crop_comp500","dominance_1","dominance_500"
"1","NE01","Pair A",44.2406876790831,61.9266055045872,52.865329512894,33.0275229357798,"Cropland dominated","Grassland dominanted"
"2","NE02","Pair A",37.0178468624065,9.03890160183066,59.5279217040875,86.6132723112128,"Cropland dominated","Cropland dominated"
"3","NE03","Pair B",45.5144740613356,43.9585730724971,51.390083118372,52.1288837744534,"Cropland dominated","Cropland dominated"
"4","NE04","Pair B",58.4002293577982,28.8837744533947,38.4461009174312,66.283084004603,"Grassland dominanted","Cropland dominated"
"5","NE05","Pair C",46.3589449541284,68.1609195402299,51.0607798165138,28.735632183908,"Cropland dominated","Grassland dominanted"
"6","NE06","Pair C",34.4027499283873,14.5952109464082,62.4462904611859,83.466362599772,"Cropland dominated","Cropland dominated"
"7","NE07","Pair D",37.5681101233152,48.0504587155963,31.7464869515343,25,"Grassland dominanted","Grassland dominanted"
"8","NE08","Pair D",41.2507171543316,16.4759725400458,34.2512908777969,70.7093821510298,"Grassland dominanted","Cropland dominated"
"9","NE09","Pair E",63.4174311926605,68.2758620689655,36.4678899082569,31.3793103448276,"Grassland dominanted","Grassland dominanted"
"10","NE10","Pair E",54.9154485525939,16.8384879725086,44.7979363714531,82.9324169530355,"Grassland dominanted","Cropland dominated"
"11","NE11","Pair F",68.0905963302752,55.9633027522936,29.5298165137615,41.5137614678899,"Grassland dominanted","Grassland dominanted"
"12","NE12","Pair F",75.8739255014327,82.648401826484,21.5186246418338,11.6438356164384,"Grassland dominanted","Grassland dominanted"
