"","year","pair","week","weight"
"1",2022,"Pair A",20,0.571428571428571
"2",2022,"Pair A",21,0.857142857142857
"3",2022,"Pair A",22,0.142857142857143
"4",2022,"Pair A",25,0.285714285714286
"5",2022,"Pair A",26,0.142857142857143
"6",2022,"Pair A",27,0.142857142857143
"7",2022,"Pair A",35,0.142857142857143
"8",2022,"Pair B",11,0.285714285714286
"9",2022,"Pair B",12,0.571428571428571
"10",2022,"Pair B",13,0.714285714285714
"11",2022,"Pair B",14,0.714285714285714
"12",2022,"Pair B",15,0.857142857142857
"13",2022,"Pair B",16,0.714285714285714
"14",2022,"Pair B",17,0.857142857142857
"15",2022,"Pair B",18,0.857142857142857
"16",2022,"Pair B",19,0.857142857142857
"17",2022,"Pair B",20,0.857142857142857
"18",2022,"Pair B",21,0.714285714285714
"19",2022,"Pair B",22,0.714285714285714
"20",2022,"Pair B",23,1
"21",2022,"Pair B",24,1
"22",2022,"Pair B",25,0.857142857142857
"23",2022,"Pair B",26,1
"24",2022,"Pair B",27,0.714285714285714
"25",2022,"Pair B",28,1
"26",2022,"Pair B",29,0.285714285714286
"27",2022,"Pair B",31,0.142857142857143
"28",2022,"Pair B",32,0.571428571428571
"29",2022,"Pair C",11,0.714285714285714
"30",2022,"Pair C",12,0.714285714285714
"31",2022,"Pair C",13,0.857142857142857
"32",2022,"Pair C",14,0.428571428571429
"33",2022,"Pair C",15,0.571428571428571
"34",2022,"Pair C",16,0.142857142857143
"35",2022,"Pair C",17,0.857142857142857
"36",2022,"Pair C",18,0.857142857142857
"37",2022,"Pair C",19,1
"38",2022,"Pair C",20,0.857142857142857
"39",2022,"Pair C",21,0.857142857142857
"40",2022,"Pair C",31,0.428571428571429
"41",2022,"Pair C",32,0.142857142857143
"42",2022,"Pair D",14,0.285714285714286
"43",2022,"Pair D",15,0.714285714285714
"44",2022,"Pair D",16,0.714285714285714
"45",2022,"Pair D",17,0.142857142857143
"46",2022,"Pair D",20,0.285714285714286
"47",2022,"Pair D",21,1
"48",2022,"Pair D",22,1
"49",2022,"Pair D",23,1
"50",2022,"Pair D",24,0.428571428571429
"51",2022,"Pair D",25,0.142857142857143
"52",2022,"Pair E",11,0.571428571428571
"53",2022,"Pair E",12,0.142857142857143
"54",2022,"Pair E",13,0.571428571428571
"55",2022,"Pair E",14,0.428571428571429
"56",2022,"Pair E",15,0.428571428571429
"57",2022,"Pair E",16,0.428571428571429
"58",2022,"Pair E",17,0.857142857142857
"59",2022,"Pair E",18,0.857142857142857
"60",2022,"Pair E",19,1
"61",2022,"Pair E",20,0.714285714285714
"62",2022,"Pair E",21,0.571428571428571
"63",2022,"Pair E",25,0.142857142857143
"64",2022,"Pair E",26,0.428571428571429
"65",2022,"Pair E",27,0.142857142857143
"66",2022,"Pair E",29,0.285714285714286
"67",2022,"Pair F",22,0.571428571428571
"68",2022,"Pair F",23,1
"69",2022,"Pair F",24,0.571428571428571
"70",2022,"Pair F",25,0.571428571428571
"71",2022,"Pair F",26,0.428571428571429
"72",2023,"Pair A",12,0.857142857142857
"73",2023,"Pair A",13,0.714285714285714
"74",2023,"Pair A",14,0.857142857142857
"75",2023,"Pair A",15,0.714285714285714
"76",2023,"Pair A",16,1
"77",2023,"Pair A",17,1
"78",2023,"Pair A",18,1
"79",2023,"Pair A",19,0.857142857142857
"80",2023,"Pair A",20,1
"81",2023,"Pair A",21,0.857142857142857
"82",2023,"Pair A",22,0.571428571428571
"83",2023,"Pair A",24,0.428571428571429
"84",2023,"Pair A",26,0.714285714285714
"85",2023,"Pair A",27,0.714285714285714
"86",2023,"Pair A",28,0.428571428571429
"87",2023,"Pair A",29,0.428571428571429
"88",2023,"Pair A",32,0.142857142857143
"89",2023,"Pair B",12,0.714285714285714
"90",2023,"Pair B",13,0.857142857142857
"91",2023,"Pair B",14,0.857142857142857
"92",2023,"Pair B",15,0.857142857142857
"93",2023,"Pair B",16,0.857142857142857
"94",2023,"Pair B",17,0.857142857142857
"95",2023,"Pair B",18,1
"96",2023,"Pair B",19,1
"97",2023,"Pair B",20,1
"98",2023,"Pair B",21,1
"99",2023,"Pair B",22,0.285714285714286
"100",2023,"Pair B",23,0.285714285714286
"101",2023,"Pair B",24,0.142857142857143
"102",2023,"Pair B",25,0.571428571428571
"103",2023,"Pair B",26,0.428571428571429
"104",2023,"Pair B",27,0.285714285714286
"105",2023,"Pair B",28,0.285714285714286
"106",2023,"Pair B",29,0.428571428571429
"107",2023,"Pair B",30,0.142857142857143
"108",2023,"Pair C",12,0.714285714285714
"109",2023,"Pair C",13,0.857142857142857
"110",2023,"Pair C",14,1
"111",2023,"Pair C",15,0.857142857142857
"112",2023,"Pair C",17,0.285714285714286
"113",2023,"Pair C",18,1
"114",2023,"Pair C",19,0.285714285714286
"115",2023,"Pair C",22,0.428571428571429
"116",2023,"Pair C",23,0.857142857142857
"117",2023,"Pair C",24,0.857142857142857
"118",2023,"Pair C",25,1
"119",2023,"Pair C",26,1
"120",2023,"Pair C",27,1
"121",2023,"Pair C",28,1
"122",2023,"Pair C",29,0.142857142857143
"123",2023,"Pair C",32,0.714285714285714
"124",2023,"Pair C",33,0.428571428571429
"125",2023,"Pair C",34,0.285714285714286
"126",2023,"Pair D",12,0.714285714285714
"127",2023,"Pair D",13,1
"128",2023,"Pair D",14,1
"129",2023,"Pair D",15,0.857142857142857
"130",2023,"Pair D",16,0.714285714285714
"131",2023,"Pair D",17,1
"132",2023,"Pair D",18,0.857142857142857
"133",2023,"Pair D",19,0.857142857142857
"134",2023,"Pair D",20,1
"135",2023,"Pair D",21,0.714285714285714
"136",2023,"Pair D",22,0.857142857142857
"137",2023,"Pair D",23,0.142857142857143
"138",2023,"Pair D",25,0.571428571428571
"139",2023,"Pair D",26,0.714285714285714
"140",2023,"Pair D",27,0.571428571428571
"141",2023,"Pair D",28,0.285714285714286
